row,studyID,authors,year,title,journal,species,n,female,dropout,age,site,attempt_replication,successful_replication,species_comparison,notes
37,54,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,buff-cheeked gibbon,2,2,0,adult,Mulhouse Zoo,no,NA,yes,NA
38,54,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,white-handed gibbon,1,0,1,adult,Tierpark Hamm,yes,no,yes,NA
39,54,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,Mueller's gibbon,2,1,0,adult,Tierpark Hamm,no,NA,yes,NA
40,54,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,siamang,1,0,0,adult,Duisburg Zoo,no,NA,yes,NA
42,282,"Simpson, Sclafani, Paukner, Hamel, Novak, Meyer, Suomi, Ferrari",2014,Inhaled oxytocin increases positive social behaviors in newborn macaques,PNAS,rhesus macaque,28,12,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
43,358,"Paukner, Simpson, Ferrari, Mrozek, Suomi",2014,Neonatal imitation predicts how infants engage with faces,Developmental Science,rhesus macaque,37,13,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
44,144,"Sclafani, Simpson, Suomi, Ferrari",2015,Development of space perception in relation to the maturation of the motor system in infant rhesus macaques (Macaca mulatta),Neuropsychologia,rhesus macaque,16,6,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
45,180,"Vanderwert, Simpson, Paukner, Suomi, Fox, Ferrari",2015,Early social experience affects neural activity to affiliative facial gestures in newborn nonhuman primates,Developmental Neuroscience,rhesus macaque,85,44,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
46,201,"Simpson, Nicolini, Shetler, Suomi, Ferrari, Paukner",2016,Experience-independent sex differences in newborn macaques: Females are more social than males,Scientific Reports,rhesus macaque,48,21,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
47,357,"Simpson, Miller, Ferrari, Suomi, Paukner",2016,Neonatal imitation and early social experience predict gaze following abilities in infant macaques,Scientific Reports,rhesus macaque,119,51,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
48,200,"Simpson, Suomi, Paukner",2016,Evolutionary relevance and experience contribute to face discrimination in infant macaques (Macaca mulatta),Journal of Cognition and Development,rhesus macaque,62,25,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
49,356,"Dettmer, Kaburu, Simpson, Paukner, Sclafani, Byers, Murphy, Miller, Marquez, Suomi, Ferrari",2016,Neonatal face-to-face interactions shape later social behavior in infant rhesus monkeys,Nature Communications,rhesus macaque,58,27,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
50,359,"Kaburu, Paukner, Simpson, Suomi, Ferrari",2016,Neonatal imitation predicts infant rhesus macaque (Macaca mulatta) social and anxiety-related behaviors at one year,Scientific Reports,rhesus macaque,126,63,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
51,209,"Simpson, Jakobsen, Damon, Suomi, Ferrari, Paukner",2017,Face detection and the development of own-species bias in infant macaques,Child Development,rhesus macaque,10,6,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
52,13,"Simpson, Paukner, Sclafani, Kaburu, Suomi, Ferrari",2017,Acute oxytocin improves memory and gaze following in male but not female nursery-reared infant macaques,Phychopharmacology,rhesus macaque,24,13,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
53,388,"Damon, Meary, Quinn, Lee, Simpson, Paukner, Suomi, Pascalis",2017,Perception of facial averageness: Evidence for a common mechanism in human and macaque infants,Scientific Reports,rhesus macaque,26,14,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
54,477,"Paukner, Pedersen, Simpson",2017,Testing the arousal hypothesis of neonatal imitation in infant rhesus macaques,PLOS ONE,rhesus macaque,163,75,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
55,546,"Slonecker, Simpson, Suomi, Paukner",2018,Who's my little monkey? Effects of infant-directed speech on visual retention in infant rhesus macaques,Developmental Science,rhesus macaque,15,8,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
56,182,"Festante, Vanderwert, Sclafani, Paukner, Simpson, Suomi, Fox, Ferrari",2018,EEG beta desynchronization during hand goal-directed action observation in newborn monkeys and its relation to the emergence of hand motor skills,Developmental Cognitive Neuroscience,rhesus macaque,56,20,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
57,293,"Wooddell, Simpson, Murphy, Dettmer, Paukner",2019,Interindividual differences in neonatal sociality and emotionality predict juvenile social status in rhesus monkeys,Developmental Science,rhesus macaque,33,19,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
58,268,"Sclafani, Paukner, Suomi, Ferrari",2015,Imitation promotes affiliation in infant macaques at risk for impaired social behaviors,Developmental Science,rhesus macaque,32,16,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
59,251,"Simpson, Sclafani, Paukner, Kaburu, Suomi, Ferrari",2019,"Handling newborn monkeys alters later exploratory, cognitive, and social behaviors",Developmental Cognitive Neuroscience,rhesus macaque,48,21,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
60,529,"Simpson, Paukner, Pedersen, Ferrari, Parr",2019,Visual preference for direct gaze faces in infant macaques (Macaca mulatta) with limited face exposure,Developmental Psychobiology,rhesus macaque,16,9,0,infant,Laboratory of Comparative Ethology,yes,yes,no,NA
61,459,"Simpson, Maylott, Lazo, Leonard, Kaburu, Suomi, Paukner, Ferrari",2019,Social touch alters newborn moneky behavior,Infant Behavior and Development,rhesus macaque,27,16,0,infant,Laboratory of Comparative Ethology,no,NA,no,NA
63,119,"Keupp, Titchener, Bugnyar, Mussweiler, Fischer",2019,Competition is crucial for social comparison processes in long-tailed macaques,Biology Letters,long-tailed macaque,10,5,0,mixed,German Primate Center,no,NA,no,NA
64,27,"Keupp, Barbarroja Capdevila, Topolinski, Fischer",2018,Are monkeys intuitive Aristotelians? – Associations between target size and vertical target position in long-tailed macaques,Royal Society Open Science,long-tailed macaque,12,5,0,mixed,German Primate Center,no,NA,no,NA
65,163,"Schmitt, Federspiel, Eckert, Keupp, Tschernek, Faraut, Schuster, Michels, Sennhenn-Reulen, Bugnyar, Mussweiler, Fischer",2016,Do monkeys compare themselves to others?,Animal Cognition,long-tailed macaque,9,3,0,mixed,German Primate Center,no,NA,no,NA
66,317,"Placì, Eckert, Rakoczy, Fischer",2018,Long-tailed macaques (Macaca fascicularis) can use simple heuristics but fail at drawing statistical inferences from populations to samples,Royal Society Open Science,long-tailed macaque,17,8,6,mixed,German Primate Center,yes,no,no,NA
67,437,"Schmitt, Schlögl, Fischer",2014,Seeing the Experimenter Influences the Response to Seeing the Experimenter Influences the Response to Pointing Cues in Long-Tailed Macaques,PLOS ONE,long-tailed macaque,10,6,0,mixed,German Primate Center,yes,yes,no,NA
68,319,"Placì, Padberg, Rakoczy, Fischer",2019,Long-tailed macaques extract statistical information from repeated types of events to make rational decisions under uncertainty,Scientific Reports,long-tailed macaque,13,7,2,mixed,German Primate Center,no,NA,no,NA
69,55,"Watzek, Pope, Brosnan",2019,Capuchin and rhesus monkeys but not humans show cognitive flexibility in an optional-switch task,Scientific Reports,rhesus macaque,7,0,0,adult,Language Research Center,no,NA,yes,NA
70,55,"Watzek, Pope, Brosnan",2019,Capuchin and rhesus monkeys but not humans show cognitive flexibility in an optional-switch task,Scientific Reports,tufted capuchin,20,15,2,adult,Language Research Center,no,NA,yes,NA
71,375,"Pope, Fagot, Meguerditchian, Watzek, Lew-Levy, Autrey, Hopkins",2019,Optional-switch cognitive flexibility in primates: Chimpanzees’ (Pan troglodytes) intermediate susceptibility to cognitive set,Journal of Comparative Psychology,chimpanzee,10,5,NA,adult,Yerkes National Primate Research Center,no,NA,yes,NA
72,35,"Pope, Meguerditchian, Hopkins, Fagot",2015,"Baboons (Papio papio), but not humans, break cognitive set in a visuomotor task",Animal Cognition,Guinea baboon,15,9,0,mixed,CNRS Primate Centre in Rousset-sur-Arc,no,NA,no,NA
73,420,"Watzek, Whitham, Washburn, Brosnan",2018,"Responses to modified Monty Hall Dilemmas in capuchin monkeys, rhesus macaques, and humans",International Journal of Comparative Psychology,rhesus macaque,7,0,0,adult,Language Research Center,no,NA,yes,NA
74,420,"Watzek, Whitham, Washburn, Brosnan",2018,"Responses to modified Monty Hall Dilemmas in capuchin monkeys, rhesus macaques, and humans",International Journal of Comparative Psychology,tufted capuchin,24,16,0,adult,Language Research Center,no,NA,yes,NA
75,1,"Watzek, Brosnan",2018,"(Ir)rational choices of humans, rhesus macaques, and capuchin monkeys in dynamic stochastic environments",Cognition,rhesus macaque,7,0,0,adult,Language Research Center,no,NA,yes,NA
76,1,"Watzek, Brosnan",2018,"(Ir)rational choices of humans, rhesus macaques, and capuchin monkeys in dynamic stochastic environments",Cognition,tufted capuchin,16,9,0,adult,Language Research Center,no,NA,yes,NA
77,456,"Amici, Call, Watzek, Brosnan, Aureli",2018,Social inhibition and behavioural flexibility when the context changes: a comparison across six primate species,Scientific Reports,chimpanzee,6,NA,NA,NA,Wolfgang Köhler Primate Research Center,no,NA,yes,NA
78,456,"Amici, Call, Watzek, Brosnan, Aureli",2018,Social inhibition and behavioural flexibility when the context changes: a comparison across six primate species,Scientific Reports,bonobo,5,NA,NA,NA,Wolfgang Köhler Primate Research Center,no,NA,yes,NA
79,456,"Amici, Call, Watzek, Brosnan, Aureli",2018,Social inhibition and behavioural flexibility when the context changes: a comparison across six primate species,Scientific Reports,Sumatran orangutan,5,NA,NA,NA,Wolfgang Köhler Primate Research Center,no,NA,yes,NA
80,456,"Amici, Call, Watzek, Brosnan, Aureli",2018,Social inhibition and behavioural flexibility when the context changes: a comparison across six primate species,Scientific Reports,Western gorilla,4,NA,NA,NA,Wolfgang Köhler Primate Research Center,no,NA,yes,NA
81,456,"Amici, Call, Watzek, Brosnan, Aureli",2018,Social inhibition and behavioural flexibility when the context changes: a comparison across six primate species,Scientific Reports,Geoffroy's spider monkey,6,NA,NA,NA,Animaya Zoo,no,NA,yes,NA
82,456,"Amici, Call, Watzek, Brosnan, Aureli",2018,Social inhibition and behavioural flexibility when the context changes: a comparison across six primate species,Scientific Reports,tufted capuchin,8,NA,NA,NA,Language Research Center,no,NA,yes,NA
83,492,"Talbot, Parrish, Watzek, Essler, Leverett, Paukner, Brosnan",2018,The influence of reward quality and quantity and spatial proximity on the responses to inequity and contrast in capuchin monkeys (Cebus [sapajus] apella),Journal of Comparative Psychology,tufted capuchin,6,1,2,adult,Language Research Center,no,NA,no,NA
84,492,"Talbot, Parrish, Watzek, Essler, Leverett, Paukner, Brosnan",2018,The influence of reward quality and quantity and spatial proximity on the responses to inequity and contrast in capuchin monkeys (Cebus [sapajus] apella),Journal of Comparative Psychology,tufted capuchin,7,0,0,adult,Laboratory of Comparative Ethology,no,NA,no,NA
85,64,"Talbot, Leverett, Brosnan",2016,Capuchins recognize familiar faces,Animal Behaviour,tufted capuchin,8,4,0,adult,Language Research Center,no,NA,no,NA
86,210,"Talbot, Mayo, Stoinski, Brosnan",2015,Face discriminations by orangutans (Pongo spp.) vary as a function of familiarity,Evolutionary Psychological Science,Sumatran orangutan,2,1,NA,adult,Zoo Atlanta,no,NA,no,NA
87,210,"Talbot, Mayo, Stoinski, Brosnan",2015,Face discriminations by orangutans (Pongo spp.) vary as a function of familiarity,Evolutionary Psychological Science,Bornean orangutan,1,0,NA,adult,Zoo Atlanta,no,NA,no,NA
88,384,"Brosnan, Talbot, Essler, Leverett, Flemming, Dougall, Heyler, Zak",2015,Oxytocin reduces food sharing in capuchin monkeys by modulating social distance,Behaviour,tufted capuchin,8,3,NA,adult,Language Research Center,yes,partial,no,NA
89,393,"Brosnan, Hopper, Richey, Freeman, Talbot, Gosling, Lambeth, Schapiro",2015,Personality influences responses to inequity and contrast in chimpanzees,Animal Behaviour,chimpanzee,24,12,3,adult,Michale E. Keeling Center for Comparative Medicine and Research,no,NA,no,NA
90,116,"Prétôt, Bshary, Brosnan",2016,Comparing species decisions in a dichotomous choice task: Adjusting task parameters improves performance in monkeys,Animal Cognition,rhesus macaque,8,0,0,adult,Language Research Center,no,NA,yes,NA
91,116,"Prétôt, Bshary, Brosnan",2016,Comparing species decisions in a dichotomous choice task: Adjusting task parameters improves performance in monkeys,Animal Cognition,tufted capuchin,11,5,0,adult,Language Research Center,no,NA,yes,NA
92,213,"Prétôt, Bshary, Brosnan",2016,Factors influencing the different performance of fish and primates on a dichotomous choice task,Animal Behaviour,tufted capuchin,9,4,NA,adult,Language Research Center,no,NA,yes,NA
93,259,"Brosnan, Price, Leverett, Prétôt, Beran, Wilson",2017,Human and monkey responses in a symmetric game of conflict with asymmetric equilibria,Journal of Economic Behavior & Organization,rhesus macaque,4,0,0,adult,Language Research Center,no,NA,no,NA
94,259,"Brosnan, Price, Leverett, Prétôt, Beran, Wilson",2017,Human and monkey responses in a symmetric game of conflict with asymmetric equilibria,Journal of Economic Behavior & Organization,tufted capuchin,10,4,NA,adult,Language Research Center,no,NA,no,NA
95,165,"Prétôt, Weiss, Brosnan",2018,Do nonhuman primates ascribe goals to the choices of conspecifics?,Animal Behavior and Cognition,tufted capuchin,10,4,1,adult,Language Research Center,no,NA,no,NA
96,56,"Prétôt, Brosnan",2019,Capuchin monkeys (Cebus [Sapajus] apella) show planning in a manual maze task,Journal of Comparative Psychology,tufted capuchin,10,5,NA,adult,Language Research Center,no,NA,no,NA
97,520,"Morton, Brosnan, Prétôt, Buchanan-Smith, O'Sullivan, Stocker, D'Mello, Wilson",2015,Using photographs to study animal social cognition and behaviour: Do capuchins’ responses to photos reflect reality?,Behavioural Processes,tufted capuchin,11,3,NA,mixed,Edinburgh Zoo,no,NA,no,NA
98,520,"Morton, Brosnan, Prétôt, Buchanan-Smith, O'Sullivan, Stocker, D'Mello, Wilson",2015,Using photographs to study animal social cognition and behaviour: Do capuchins’ responses to photos reflect reality?,Behavioural Processes,tufted capuchin,7,4,NA,adult,Language Research Center,no,NA,no,NA
99,481,"Lucca, MacLean, Hare",2017,The development and flexibility of gaze alternations in bonobos and chimpanzees,Developmental Science,chimpanzee,35,16,NA,mixed,Tchimpounga Chimpanzee Sanctuary,no,NA,yes,NA
100,481,"Lucca, MacLean, Hare",2017,The development and flexibility of gaze alternations in bonobos and chimpanzees,Developmental Science,bonobo,17,7,NA,mixed,Lola ya Bonobo Sanctuary,no,NA,yes,NA
101,115,"Joly, Micheletta, De Marco, Langermans, Sterck, Waller",2017,Comparing physical and social cognitive skills in macaque species with different degrees of social tolerance,Proceedings of the Royal Society B,rhesus macaque,5,2,0,adult,Monkey Haven,yes,yes,yes,NA
102,115,"Joly, Micheletta, De Marco, Langermans, Sterck, Waller",2017,Comparing physical and social cognitive skills in macaque species with different degrees of social tolerance,Proceedings of the Royal Society B,rhesus macaque,6,0,0,adult,Biomedical Primate Research Centre,yes,yes,yes,NA
103,115,"Joly, Micheletta, De Marco, Langermans, Sterck, Waller",2017,Comparing physical and social cognitive skills in macaque species with different degrees of social tolerance,Proceedings of the Royal Society B,long-tailed macaque,7,7,0,adult,Biomedical Primate Research Centre,yes,yes,yes,NA
104,115,"Joly, Micheletta, De Marco, Langermans, Sterck, Waller",2017,Comparing physical and social cognitive skills in macaque species with different degrees of social tolerance,Proceedings of the Royal Society B,Barbary macaque,11,7,0,adult,Monkey Haven,yes,yes,yes,NA
105,115,"Joly, Micheletta, De Marco, Langermans, Sterck, Waller",2017,Comparing physical and social cognitive skills in macaque species with different degrees of social tolerance,Proceedings of the Royal Society B,Barbary macaque,5,0,0,adult,Parco Faunistico Piano dell’Abatino,yes,yes,yes,NA
106,115,"Joly, Micheletta, De Marco, Langermans, Sterck, Waller",2017,Comparing physical and social cognitive skills in macaque species with different degrees of social tolerance,Proceedings of the Royal Society B,Tonkean macaque,5,5,0,adult,Parco Faunistico Piano dell’Abatino,yes,yes,yes,NA
107,14,"Kwok, Mitchell, Buckley",2015,Adaptability to changes in temporal structure is fornix-dependent,Learning & Memory,rhesus macaque,5,0,0,adult,Oxford University Primate Center,no,NA,no,NA
108,14,"Kwok, Mitchell, Buckley",2015,Adaptability to changes in temporal structure is fornix-dependent,Learning & Memory,long-tailed macaque,5,0,0,adult,Oxford University Primate Center,no,NA,no,NA
109,337,"Kwok, Cai, Buckley",2019,Mnemonic Introspection in Macaques Is Dependent on Superior Dorsolateral Prefrontal Cortex But Not Orbitofrontal Cortex,The Journal of Neuroscience,rhesus macaque,8,0,0,adult,Oxford University Primate Center,no,NA,no,NA
110,337,"Kwok, Cai, Buckley",2019,Mnemonic Introspection in Macaques Is Dependent on Superior Dorsolateral Prefrontal Cortex But Not Orbitofrontal Cortex,The Journal of Neuroscience,Japanese macaque,6,0,0,adult,RIKEN Center for Brain Science,no,NA,no,NA
111,337,"Kwok, Cai, Buckley",2019,Mnemonic Introspection in Macaques Is Dependent on Superior Dorsolateral Prefrontal Cortex But Not Orbitofrontal Cortex,The Journal of Neuroscience,long-tailed macaque,2,0,0,adult,Oxford University Primate Center,no,NA,no,NA
112,369,"Suchak, Watzek, Quarles, de Waal",2018,"Novice chimpanzees cooperate successfully in the presence of experts, but may have limited understanding of the task",Animal Cognition,chimpanzee,15,12,NA,adult,Yerkes National Primate Research Center,no,NA,no,NA
113,248,"Kano, Krupenye, Hirata, Tomonaga, Call",2019,Great apes use self- experience to anticipate an agent’s action in a false belief test,Proceedings of the National Academy of Sciences,chimpanzee,16,12,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes,NA
114,248,"Kano, Krupenye, Hirata, Tomonaga, Call",2019,Great apes use self- experience to anticipate an agent’s action in a false belief test,Proceedings of the National Academy of Sciences,chimpanzee,8,6,NA,mixed,Primate Research Institute,no,NA,yes,NA
115,248,"Kano, Krupenye, Hirata, Tomonaga, Call",2019,Great apes use self- experience to anticipate an agent’s action in a false belief test,Proceedings of the National Academy of Sciences,chimpanzee,5,4,NA,mixed,Kumamoto Sanctuary,no,NA,yes,NA
116,248,"Kano, Krupenye, Hirata, Tomonaga, Call",2019,Great apes use self- experience to anticipate an agent’s action in a false belief test,Proceedings of the National Academy of Sciences,bonobo,8,4,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes,NA
117,248,"Kano, Krupenye, Hirata, Tomonaga, Call",2019,Great apes use self- experience to anticipate an agent’s action in a false belief test,Proceedings of the National Academy of Sciences,bonobo,6,4,NA,mixed,Kumamoto Sanctuary,no,NA,yes,NA
118,248,"Kano, Krupenye, Hirata, Tomonaga, Call",2019,Great apes use self- experience to anticipate an agent’s action in a false belief test,Proceedings of the National Academy of Sciences,Sumatran orangutan,2,2,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes,NA
119,48,"Krupenye, Tan, Hare",2018,Bonobos voluntarily hand food to others but not toys or tools,Proceedings of the Royal Society B,bonobo,18,12,NA,mixed,Lola ya Bonobo Sanctuary,no,NA,no,NA
120,46,"Krupenye, Hare",2018,Bonobos prefer individuals that hinder others over those that help,Current Biology,bonobo,43,21,NA,mixed,Lola ya Bonobo Sanctuary,yes,yes,no,NA
121,8,"Krupenye, Kano, Hirata, Call, Tomasello",2017,A test of the submentalizing hypothesis: Apes’ performance in a false belief task inanimate control,Communicative & Integrative Biology,chimpanzee,4,4,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
122,8,"Krupenye, Kano, Hirata, Call, Tomasello",2017,A test of the submentalizing hypothesis: Apes’ performance in a false belief task inanimate control,Communicative & Integrative Biology,chimpanzee,18,10,NA,mixed,Kumamoto Sanctuary,no,NA,no,NA
123,8,"Krupenye, Kano, Hirata, Call, Tomasello",2017,A test of the submentalizing hypothesis: Apes’ performance in a false belief task inanimate control,Communicative & Integrative Biology,bonobo,8,5,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
124,8,"Krupenye, Kano, Hirata, Call, Tomasello",2017,A test of the submentalizing hypothesis: Apes’ performance in a false belief task inanimate control,Communicative & Integrative Biology,bonobo,6,4,NA,mixed,Kumamoto Sanctuary,no,NA,no,NA
125,8,"Krupenye, Kano, Hirata, Call, Tomasello",2017,A test of the submentalizing hypothesis: Apes’ performance in a false belief task inanimate control,Communicative & Integrative Biology,Sumatran orangutan,7,5,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
126,243,"Krupenye, Kano, Hirata, Call, Tomasello",2016,Great apes anticipate that other individuals will act according to false beliefs,Science,chimpanzee,14,8,NA,mixed,Wolfgang Köhler Primate Research Center,yes,yes,yes,NA
127,243,"Krupenye, Kano, Hirata, Call, Tomasello",2016,Great apes anticipate that other individuals will act according to false beliefs,Science,chimpanzee,5,5,NA,mixed,Kumamoto Sanctuary,yes,yes,yes,NA
128,243,"Krupenye, Kano, Hirata, Call, Tomasello",2016,Great apes anticipate that other individuals will act according to false beliefs,Science,bonobo,9,5,NA,mixed,Wolfgang Köhler Primate Research Center,yes,yes,yes,NA
129,243,"Krupenye, Kano, Hirata, Call, Tomasello",2016,Great apes anticipate that other individuals will act according to false beliefs,Science,bonobo,6,4,NA,mixed,Kumamoto Sanctuary,yes,yes,yes,NA
130,243,"Krupenye, Kano, Hirata, Call, Tomasello",2016,Great apes anticipate that other individuals will act according to false beliefs,Science,Sumatran orangutan,7,5,NA,mixed,Wolfgang Köhler Primate Research Center,yes,yes,yes,NA
131,363,"Reddy, Krupenye, Hare",2015,No evidence for contagious yawning in lemurs,Animal Cognition,ring-tailed lemur,17,10,NA,mixed,Duke Lemur Center,no,NA,no,NA
132,363,"Reddy, Krupenye, Hare",2015,No evidence for contagious yawning in lemurs,Animal Cognition,red ruffed lemur,11,7,NA,mixed,Duke Lemur Center,no,NA,no,NA
133,43,"Krupenye, Rosati, Hare",2015,Bonobos and chimpanzees exhibit human-like framing effects,Biology Letters,chimpanzee,23,11,NA,mixed,Tchimpounga Chimpanzee Sanctuary,no,NA,yes,NA
134,43,"Krupenye, Rosati, Hare",2015,Bonobos and chimpanzees exhibit human-like framing effects,Biology Letters,bonobo,17,7,NA,mixed,Lola ya Bonobo Sanctuary,no,NA,yes,NA
135,431,"Bray, Krupenye, Hare",2014,Ring-tailed lemurs (Lemur catta) exploit information about what others can see but not what they can hear,Animal Cognition,ring-tailed lemur,16,9,NA,mixed,Duke Lemur Center,conceptual,yes,no,NA
136,436,"Lonsdorf, Bonnie, Grim, Krupnick, Prestipino, Whyte",2016,Seeding an arbitrary convention in capuchin monkeys: the effect of social context,Behaviour,tufted capuchin,19,9,NA,mixed,Franklin and Marshall College,no,NA,no,NA
137,252,"Jacobson, Hopper",2019,Hardly habitual: chimpanzees and gorillas show flexibility in their motor responses when presented with a causally-clear task,PeerJ,chimpanzee,6,5,0,adult,Lincoln Park Zoo,conceptual,partial,yes,NA
138,503,"Howard, Festa, Lonsdorf",2018,Through Their Eyes: The Influence of Social Models on Attention and Memory in Capuchin Monkeys (Sapajus apella),Journal of Comparative Psychology,tufted capuchin,17,8,NA,mixed,Franklin and Marshall College,no,NA,no,NA
